underlying,identifier,instrumentType,instrument,contract,expiryDate,optionType,strikePrice,lastPrice,change,pChange,openPrice,highPrice,lowPrice,closePrice,volume,totalTurnover,value,premiumTurnOver,underlyingValue,openInterest,noOfTrades
BANKNIFTY,OPTIDXBANKNIFTY25-09-2024CE49500.00,OPTIDX,Index Options,BANKNIFTY 25-Sep-2024,25-Sep-2024,Call,49500,1644.4,-421.45,-20.4,1984.15,2003.85,1603.0,1626.75,13785,23901949.35,23901949.35,706259449.35,49831.85,1070,919
BANKNIFTY,OPTIDXBANKNIFTY25-09-2024PE52500.00,OPTIDX,Index Options,BANKNIFTY 25-Sep-2024,25-Sep-2024,Put,52500,2347.45,461.95,24.5,1900.05,2440.0,1900.0,2370.75,13695,28084747.35,28084747.35,747072247.35,49831.85,1385,913
BANKNIFTY,OPTIDXBANKNIFTY24-12-2024PE48000.00,OPTIDX,Index Options,BANKNIFTY 24-Dec-2024,24-Dec-2024,Put,48000,625.0,134.75,27.49,494.05,634.95,494.0,622.1,13635,7974293.4,7974293.4,662454293.4,49831.85,6242,909
BANKNIFTY,OPTIDXBANKNIFTY28-08-2024PE47800.00,OPTIDX,Index Options,BANKNIFTY 28-Aug-2024,28-Aug-2024,Put,47800,121.3,44.55,58.05,69.1,124.55,59.4,120.0,13635,1339502.4,1339502.4,653092502.4,49831.85,703,909
BANKNIFTY,OPTIDXBANKNIFTY14-08-2024PE52500.00,OPTIDX,Index Options,BANKNIFTY 14-Aug-2024,14-Aug-2024,Put,52500,2642.6,695.0,35.68,1900.15,2697.75,1900.15,2666.25,13620,29526389.4,29526389.4,744576389.4,49831.85,899,908
BANKNIFTY,OPTIDXBANKNIFTY28-08-2024PE48100.00,OPTIDX,Index Options,BANKNIFTY 28-Aug-2024,28-Aug-2024,Put,48100,154.9,59.0,61.52,95.7,162.35,80.4,152.45,13485,1588667.85,1588667.85,650217167.85,49831.85,723,899
BANKNIFTY,OPTIDXBANKNIFTY30-10-2024CE52500.00,OPTIDX,Index Options,BANKNIFTY 30-Oct-2024,30-Oct-2024,Call,52500,683.95,-181.05,-20.93,845.2,867.55,675.0,682.0,13230,9957030.3,9957030.3,704532030.3,49831.85,789,882
BANKNIFTY,OPTIDXBANKNIFTY30-10-2024PE47000.00,OPTIDX,Index Options,BANKNIFTY 30-Oct-2024,30-Oct-2024,Put,47000,347.85,70.8,25.55,275.0,348.3,264.3,336.3,12480,3812140.8,3812140.8,590372140.8,49831.85,1259,832
BANKNIFTY,OPTIDXBANKNIFTY21-08-2024CE53700.00,OPTIDX,Index Options,BANKNIFTY 21-Aug-2024,21-Aug-2024,Call,53700,7.8,0.4,5.41,8.0,10.85,6.25,8.35,12465,94983.3,94983.3,669465483.3000001,49831.85,704,831
BANKNIFTY,OPTIDXBANKNIFTY28-08-2024PE48300.00,OPTIDX,Index Options,BANKNIFTY 28-Aug-2024,28-Aug-2024,Put,48300,168.55,57.45,51.71,98.0,190.2,98.0,176.75,12300,1749428.9999999998,1749428.9999999998,595839429.0,49831.85,757,820
BANKNIFTY,OPTIDXBANKNIFTY21-08-2024CE53400.00,OPTIDX,Index Options,BANKNIFTY 21-Aug-2024,21-Aug-2024,Call,53400,7.15,-3.0,-29.56,11.05,11.05,7.0,8.4,12030,95037.0,95037.0,642497037.0,49831.85,533,802
BANKNIFTY,OPTIDXBANKNIFTY14-08-2024CE48000.00,OPTIDX,Index Options,BANKNIFTY 14-Aug-2024,14-Aug-2024,Call,48000,1881.75,-690.1,-26.83,2580.8,2580.8,1810.0,1856.5,12030,24986189.699999996,24986189.699999996,602426189.6999999,49831.85,738,802
BANKNIFTY,OPTIDXBANKNIFTY21-08-2024PE51100.00,OPTIDX,Index Options,BANKNIFTY 21-Aug-2024,21-Aug-2024,Put,51100,1231.65,488.35,65.7,744.35,1257.65,728.55,1230.35,11415,9885161.700000001,9885161.700000001,593191661.7,49831.85,329,761
BANKNIFTY,OPTIDXBANKNIFTY28-08-2024PE44500.00,OPTIDX,Index Options,BANKNIFTY 28-Aug-2024,28-Aug-2024,Put,44500,10.3,-1.25,-10.82,10.25,13.65,7.9,11.05,11295,123002.55,123002.55,502750502.55,49831.85,913,753
BANKNIFTY,OPTIDXBANKNIFTY21-08-2024PE47100.00,OPTIDX,Index Options,BANKNIFTY 21-Aug-2024,21-Aug-2024,Put,47100,23.75,8.5,55.74,14.0,29.45,12.45,23.65,11100,252081.0,252081.0,523062081.0,49831.85,331,740
BANKNIFTY,OPTIDXBANKNIFTY28-08-2024CE48000.00,OPTIDX,Index Options,BANKNIFTY 28-Aug-2024,28-Aug-2024,Call,48000,2220.8,-592.05,-21.05,2760.0,2800.0,2150.0,2191.3,11085,26226555.749999996,26226555.749999996,558306555.75,49831.85,3682,739
BANKNIFTY,OPTIDXBANKNIFTY21-08-2024CE53800.00,OPTIDX,Index Options,BANKNIFTY 21-Aug-2024,21-Aug-2024,Call,53800,7.95,0.0,0.0,7.5,10.45,6.2,7.85,11040,78825.59999999999,78825.59999999999,594030825.6,49831.85,394,736
BANKNIFTY,OPTIDXBANKNIFTY04-09-2024CE50000.00,OPTIDX,Index Options,BANKNIFTY 04-Sep-2024,04-Sep-2024,Call,50000,900.0,-386.2,-30.03,1286.2,1302.7,870.0,891.85,10725,10876758.75,10876758.75,547126758.75,49831.85,331,715
BANKNIFTY,OPTIDXBANKNIFTY14-08-2024PE51800.00,OPTIDX,Index Options,BANKNIFTY 14-Aug-2024,14-Aug-2024,Put,51800,1935.45,683.1,54.55,1272.25,1977.25,1254.8,1932.8,10590,16455589.200000001,16455589.200000001,565017589.1999999,49831.85,1174,706
BANKNIFTY,OPTIDXBANKNIFTY28-08-2024PE51100.00,OPTIDX,Index Options,BANKNIFTY 28-Aug-2024,28-Aug-2024,Put,51100,1285.0,440.1,52.09,891.5,1309.55,850.0,1294.1,10575,11133465.75,11133465.75,551515965.75,49831.85,5709,705
BANKNIFTY,OPTIDXBANKNIFTY04-09-2024PE48000.00,OPTIDX,Index Options,BANKNIFTY 04-Sep-2024,04-Sep-2024,Put,48000,210.0,59.0,39.07,127.5,220.25,126.95,211.35,10515,1757687.4,1757687.4,506477687.40000004,49831.85,310,701
BANKNIFTY,OPTIDXBANKNIFTY04-09-2024CE53000.00,OPTIDX,Index Options,BANKNIFTY 04-Sep-2024,04-Sep-2024,Call,53000,75.7,-44.45,-37.0,111.0,116.9,65.9,72.45,10380,873788.4,873788.4,551013788.4,49831.85,301,692
BANKNIFTY,OPTIDXBANKNIFTY04-09-2024PE49500.00,OPTIDX,Index Options,BANKNIFTY 04-Sep-2024,04-Sep-2024,Put,49500,531.15,168.8,46.58,378.8,564.35,370.35,543.25,10185,5050435.95,5050435.95,509207935.95000005,49831.85,227,679
BANKNIFTY,OPTIDXBANKNIFTY28-08-2024CE49700.00,OPTIDX,Index Options,BANKNIFTY 28-Aug-2024,28-Aug-2024,Call,49700,896.65,-465.35,-34.17,1310.0,1310.0,862.05,886.65,10035,9340176.6,9340176.6,508079676.6,49831.85,463,669
BANKNIFTY,OPTIDXBANKNIFTY30-10-2024CE52000.00,OPTIDX,Index Options,BANKNIFTY 30-Oct-2024,30-Oct-2024,Call,52000,850.0,-207.9,-19.65,1050.0,1067.7,839.5,849.05,9990,9239751.0,9239751.0,528719751.0,49831.85,730,666
BANKNIFTY,OPTIDXBANKNIFTY28-08-2024CE59500.00,OPTIDX,Index Options,BANKNIFTY 28-Aug-2024,28-Aug-2024,Call,59500,7.3,1.45,24.79,5.85,8.95,4.65,8.1,9900,70191.0,70191.0,589120191.0,49831.85,383,660
BANKNIFTY,OPTIDXBANKNIFTY28-08-2024CE53800.00,OPTIDX,Index Options,BANKNIFTY 28-Aug-2024,28-Aug-2024,Call,53800,19.5,-6.1,-23.83,16.25,28.75,16.25,19.25,9900,196614.0,196614.0,532816614.0,49831.85,509,660
BANKNIFTY,OPTIDXBANKNIFTY04-09-2024PE50300.00,OPTIDX,Index Options,BANKNIFTY 04-Sep-2024,04-Sep-2024,Put,50300,882.0,305.35,52.95,570.4,900.0,570.05,883.55,9885,6857026.8,6857026.8,504072526.8,49831.85,281,659
BANKNIFTY,OPTIDXBANKNIFTY14-08-2024CE48900.00,OPTIDX,Index Options,BANKNIFTY 14-Aug-2024,14-Aug-2024,Call,48900,1002.95,-701.4,-41.15,1537.0,1599.25,938.0,981.25,9555,10240475.7,10240475.7,477479975.7,49831.85,654,637
BANKNIFTY,OPTIDXBANKNIFTY04-09-2024CE51000.00,OPTIDX,Index Options,BANKNIFTY 04-Sep-2024,04-Sep-2024,Call,51000,453.75,-234.2,-34.04,687.95,687.95,420.0,440.4,9495,4680560.25,4680560.25,488925560.25,49831.85,382,633
BANKNIFTY,OPTIDXBANKNIFTY24-12-2024PE46500.00,OPTIDX,Index Options,BANKNIFTY 24-Dec-2024,24-Dec-2024,Put,46500,375.0,85.8,29.67,290.0,402.2,290.0,374.05,9300,3127776.0,3127776.0,435577776.0,49831.85,5575,620
BANKNIFTY,OPTIDXBANKNIFTY04-09-2024CE55000.00,OPTIDX,Index Options,BANKNIFTY 04-Sep-2024,04-Sep-2024,Call,55000,22.15,-4.85,-17.96,26.0,28.5,21.05,23.75,9285,214947.75,214947.75,510889947.75,49831.85,512,619
BANKNIFTY,OPTIDXBANKNIFTY24-12-2024CE54000.00,OPTIDX,Index Options,BANKNIFTY 24-Dec-2024,24-Dec-2024,Call,54000,875.2,-196.45,-18.33,1071.65,1071.65,868.0,879.55,9180,8845848.0,8845848.0,504565848.0,49831.85,1678,612
BANKNIFTY,OPTIDXBANKNIFTY30-10-2024CE50000.00,OPTIDX,Index Options,BANKNIFTY 30-Oct-2024,30-Oct-2024,Call,50000,1819.0,-343.7,-15.89,2160.0,2160.0,1779.3,1806.25,9165,17438428.8,17438428.8,475688428.8,49831.85,621,611
BANKNIFTY,OPTIDXBANKNIFTY21-08-2024CE49300.00,OPTIDX,Index Options,BANKNIFTY 21-Aug-2024,21-Aug-2024,Call,49300,937.15,-534.55,-36.32,1400.0,1423.7,899.0,925.8,9150,9406383.0,9406383.0,460501383.0,49831.85,339,610
BANKNIFTY,OPTIDXBANKNIFTY21-08-2024PE46900.00,OPTIDX,Index Options,BANKNIFTY 21-Aug-2024,21-Aug-2024,Put,46900,20.25,1.1,5.74,5.1,21.0,5.1,18.35,9075,166344.74999999997,166344.74999999997,425783844.75,49831.85,222,605
BANKNIFTY,OPTIDXBANKNIFTY14-08-2024CE48800.00,OPTIDX,Index Options,BANKNIFTY 14-Aug-2024,14-Aug-2024,Call,48800,1099.6,-679.25,-38.18,1770.6,1770.6,1024.2,1070.55,9060,10114131.0,10114131.0,452242131.0,49831.85,803,604
BANKNIFTY,OPTIDXBANKNIFTY04-09-2024CE50500.00,OPTIDX,Index Options,BANKNIFTY 04-Sep-2024,04-Sep-2024,Call,50500,647.65,-329.2,-33.7,975.85,979.75,620.25,641.5,8835,7012604.55,7012604.55,453180104.55,49831.85,271,589
BANKNIFTY,OPTIDXBANKNIFTY21-08-2024PE42500.00,OPTIDX,Index Options,BANKNIFTY 21-Aug-2024,21-Aug-2024,Put,42500,3.4,-0.8,-19.05,4.05,4.5,2.5,2.95,8790,28831.199999999997,28831.199999999997,373603831.2,49831.85,501,586
BANKNIFTY,OPTIDXBANKNIFTY28-08-2024CE47000.00,OPTIDX,Index Options,BANKNIFTY 28-Aug-2024,28-Aug-2024,Call,47000,3130.0,-643.3,-17.05,3634.7,3715.0,3068.7,3113.05,8625,29648265.0,29648265.0,435023265.0,49831.85,2520,575
BANKNIFTY,OPTIDXBANKNIFTY21-08-2024PE52500.00,OPTIDX,Index Options,BANKNIFTY 21-Aug-2024,21-Aug-2024,Put,52500,2488.2,603.05,31.99,1905.0,2550.0,1885.0,2535.45,8205,16420748.549999999,16420748.549999999,447183248.54999995,49831.85,628,547
BANKNIFTY,OPTIDXBANKNIFTY28-08-2024CE53600.00,OPTIDX,Index Options,BANKNIFTY 28-Aug-2024,28-Aug-2024,Call,53600,20.7,-6.0,-22.47,26.7,30.85,18.9,21.35,8115,180396.45,180396.45,435144396.45000005,49831.85,796,541
BANKNIFTY,OPTIDXBANKNIFTY21-08-2024PE53000.00,OPTIDX,Index Options,BANKNIFTY 21-Aug-2024,21-Aug-2024,Put,53000,2995.35,578.1,23.92,2520.0,3055.0,2436.6,2990.9,8070,22136090.700000003,22136090.700000003,449846090.7,49831.85,487,538
BANKNIFTY,OPTIDXBANKNIFTY28-08-2024CE58000.00,OPTIDX,Index Options,BANKNIFTY 28-Aug-2024,28-Aug-2024,Call,58000,8.25,0.75,10.0,6.8,8.55,4.2,8.4,8010,57271.5,57271.5,464637271.5,49831.85,1568,534
BANKNIFTY,OPTIDXBANKNIFTY28-08-2024CE53400.00,OPTIDX,Index Options,BANKNIFTY 28-Aug-2024,28-Aug-2024,Call,53400,22.05,-13.0,-37.09,29.0,29.25,21.55,24.95,8010,192640.5,192640.5,427926640.5,49831.85,978,534
BANKNIFTY,OPTIDXBANKNIFTY28-08-2024CE57000.00,OPTIDX,Index Options,BANKNIFTY 28-Aug-2024,28-Aug-2024,Call,57000,7.5,-0.8,-9.64,8.75,9.25,7.3,8.85,7950,66064.5,66064.5,453216064.5,49831.85,3663,530
BANKNIFTY,OPTIDXBANKNIFTY28-08-2024PE51200.00,OPTIDX,Index Options,BANKNIFTY 28-Aug-2024,28-Aug-2024,Put,51200,1333.7,428.35,47.31,888.2,1399.4,888.2,1359.65,7950,8752075.5,8752075.5,415792075.5,49831.85,1379,530
BANKNIFTY,OPTIDXBANKNIFTY28-08-2024PE43000.00,OPTIDX,Index Options,BANKNIFTY 28-Aug-2024,28-Aug-2024,Put,43000,6.5,-1.7,-20.73,7.0,8.6,5.65,7.2,7935,55783.05,55783.05,341260783.05,49831.85,2710,529
BANKNIFTY,OPTIDXBANKNIFTY21-08-2024PE51400.00,OPTIDX,Index Options,BANKNIFTY 21-Aug-2024,21-Aug-2024,Put,51400,1486.25,547.1,58.25,939.2,1515.0,934.0,1493.3,7800,8533200.0,8533200.0,409453200.0,49831.85,178,520
BANKNIFTY,OPTIDXBANKNIFTY21-08-2024PE51300.00,OPTIDX,Index Options,BANKNIFTY 21-Aug-2024,21-Aug-2024,Put,51300,1401.0,537.95,62.33,868.2,1425.0,863.95,1399.4,7725,8159608.5,8159608.5,404452108.5,49831.85,325,515
BANKNIFTY,OPTIDXBANKNIFTY28-08-2024CE59000.00,OPTIDX,Index Options,BANKNIFTY 28-Aug-2024,28-Aug-2024,Call,59000,7.3,0.3,4.29,7.5,9.0,4.35,8.5,7710,54124.2,54124.2,454944124.2,49831.85,1115,514
BANKNIFTY,OPTIDXBANKNIFTY30-10-2024CE55000.00,OPTIDX,Index Options,BANKNIFTY 30-Oct-2024,30-Oct-2024,Call,55000,231.75,-52.4,-18.44,280.0,280.0,212.6,218.6,7620,1853717.4000000001,1853717.4000000001,420953717.4,49831.85,529,508
BANKNIFTY,OPTIDXBANKNIFTY28-08-2024PE44000.00,OPTIDX,Index Options,BANKNIFTY 28-Aug-2024,28-Aug-2024,Put,44000,8.55,-1.75,-16.99,12.0,13.85,7.55,9.25,7260,69187.79999999999,69187.79999999999,319509187.8,49831.85,1621,484
BANKNIFTY,OPTIDXBANKNIFTY28-08-2024PE51300.00,OPTIDX,Index Options,BANKNIFTY 28-Aug-2024,28-Aug-2024,Put,51300,1421.0,456.65,47.35,984.95,1462.0,965.0,1424.95,7065,7971934.049999999,7971934.049999999,370406434.05,49831.85,884,471
BANKNIFTY,OPTIDXBANKNIFTY21-08-2024PE47400.00,OPTIDX,Index Options,BANKNIFTY 21-Aug-2024,21-Aug-2024,Put,47400,32.0,-13.95,-30.36,15.5,34.2,13.95,30.3,6825,204818.25,204818.25,323709818.25,49831.85,325,455
BANKNIFTY,OPTIDXBANKNIFTY21-08-2024CE57500.00,OPTIDX,Index Options,BANKNIFTY 21-Aug-2024,21-Aug-2024,Call,57500,4.3,1.15,36.51,3.15,4.95,2.6,4.6,6795,27791.55,27791.55,390740291.54999995,49831.85,208,453
BANKNIFTY,OPTIDXBANKNIFTY30-10-2024PE50000.00,OPTIDX,Index Options,BANKNIFTY 30-Oct-2024,30-Oct-2024,Put,50000,1069.0,186.6,21.15,917.5,1125.25,865.5,1095.4,6765,6767976.600000001,6767976.600000001,345017976.6,49831.85,814,451
BANKNIFTY,OPTIDXBANKNIFTY28-08-2024CE48500.00,OPTIDX,Index Options,BANKNIFTY 28-Aug-2024,28-Aug-2024,Call,48500,1770.0,-645.0,-26.71,2327.9,2330.0,1736.3,1758.9,6720,12273542.4,12273542.4,338193542.4,49831.85,599,448
BANKNIFTY,OPTIDXBANKNIFTY28-08-2024PE43500.00,OPTIDX,Index Options,BANKNIFTY 28-Aug-2024,28-Aug-2024,Put,43500,7.0,-0.7,-9.09,7.0,8.25,5.9,7.0,6690,47499.0,47499.0,291062499.0,49831.85,1157,446
BANKNIFTY,OPTIDXBANKNIFTY21-08-2024CE49200.00,OPTIDX,Index Options,BANKNIFTY 21-Aug-2024,21-Aug-2024,Call,49200,1012.35,-542.45,-34.89,1444.75,1450.0,972.85,998.5,6285,6797855.999999999,6797855.999999999,316019856.0,49831.85,186,419
BANKNIFTY,OPTIDXBANKNIFTY30-10-2024CE51000.00,OPTIDX,Index Options,BANKNIFTY 30-Oct-2024,30-Oct-2024,Call,51000,1255.65,-314.3,-20.02,1530.0,1530.0,1225.15,1256.4,6210,8389834.2,8389834.2,325099834.2,49831.85,428,414
